,,,,
,,,,
Investor name,ðŸ¦… [INV] Team Member (users),[INV] Cheque Size (labels),Main Geographies Targeted (labels),[BD] Vertical Interests / Vertical (labels)
Korea Investment Partners,Brian Lee,">1M, 100K-500K","USA, Europe, Singapore, China, Korea, Indonesia, SEA",Agnostic
Lynett Capital,Nikita Ponomarev,,"Africa, India, USA","eCommerce, Fintech, Edtech"
Vickers,Brian Lee,>1M,"China, SEA, USA, Singapore",Agnostic
Insignia,Minjia,,"SEA, India",Agnostic
Golden Gate Ventures,Hiruy Ephrem,"500K-1M, >1M","Pakistan, SEA, Indonesia, Vietnam, Singapore","Fintech, Agnostic"
VU Venture Partners,Nikita Ponomarev,,Agnostic,Agnostic
BACE Capital,Nikita Ponomarev,,"China, SEA, India","Logistics, Media, Mobility, eCommerce, Fintech"
Runa Capital,Nikita Ponomarev,,"USA, Europe",Agnostic
Vertex Ventures India & SEA,Nikita Ponomarev,,"India, SEA",Agnostic
Access Bridge Ventures,Nikita Ponomarev,,"MENA, Saudi Arabia, Africa, Egypt",Agnostic
Chennai Angels,Nikita Ponomarev,,India,Agnostic
MTS AI,Nikita Ponomarev,,Russia,"AI & ML, DeepTech"
MVP (M Venture Partners),,500K-1M,"India, SEA","Fintech, Health, Agnostic"
Jungle Ventures,Hiruy Ephrem,,"India, SEA",Agnostic
Genting Ventures,Nikita Ponomarev,,"SEA, India","Blockchain, Gaming, Agnostic"
IndoGen,,,SEA,
"Transsion / Techno (APAC, Investment)",Nikita Ponomarev,,Africa,"Media, eCommerce"
Endeavor,Nikita Ponomarev,,Pakistan,Agnostic
Mandiri Bank (and Mandiri Capital),,2M-5M,Indonesia,"Property Tech, AI & ML, SaaS, SDG"
SeaX venture (RISE TH CVC),,,Thailand,
Cypher Capital,Nikita Ponomarev,"500K-1M, 100K-500K",UAE,"Blockchain, Fintech"
Century Oak Capital,Nikita Ponomarev,,"MENA, Pakistan, Africa, SEA, Bangladesh, Europe, UAE","eCommerce, Fintech, Edtech, Health"
Asia Partners,Nikita Ponomarev,,SEA,"Mobility, eCommerce, SaaS, Edtech, Health"
Betatron Venture Group,Hiruy Ephrem,"2M-5M, 500K-1M, >1M","Asia, SA = South Asia, SEA, Bangladesh","Mobility, eCommerce, SaaS"
Galaxy Interactive,Nikita Ponomarev,,"Europe, Korea, India, USA","Blockchain, Gaming"
RTP Global,Nikita Ponomarev,,"Pakistan, SEA, Bangladesh, Europe, India, USA, Singapore",Agnostic
Crescent Enterprises,Nikita Ponomarev,,"MENA, Asia, India","eCommerce, Logistics, Health, Telco, Biotech"
SIG,Nikita Ponomarev,,SEA,
Indian Angel Network,Nikita Ponomarev,,India,Agnostic
Yellow Rocks,Nikita Ponomarev,,"MENA, Latam, SEA, Europe, USA","Impact, DeepTech, Fintech, SaaS, Edtech, Web 3, Gaming"
Magnivia Ventures,Nikita Ponomarev,,"Israel, India, USA",
Sabr Capital,Nikita Ponomarev,,"MENA, Pakistan, Africa, Bangladesh",Agnostic
MyAsiaVC (Bangladesh part),Nikita Ponomarev,,"Pakistan, Latam, Africa, SEA, Bangladesh, India, Singapore","Blockchain, Web 3, Agnostic"
The Osiris Group (Bangladesh) - Syeed Khan,Nikita Ponomarev,,"Pakistan, Bangladesh","Fintech, Health, Agnostic"
Anchorless Bangladesh,Nikita Ponomarev,,"Bangladesh, Singapore",Agnostic
Astir Ventures,Nikita Ponomarev,,"MENA, Pakistan, Asia, Bangladesh, India, USA, Agnostic",Agnostic
Altara Ventures,Nikita Ponomarev,,"SEA, Indonesia, India, Singapore","Fintech, SaaS, Agnostic"
Razor Capital,Nikita Ponomarev,,Bangladesh,Agnostic
Quantum Ventures,Nikita Ponomarev,,"SEA, Indonesia, Europe, USA","Food Tech, Automotive, Sustainability, Fintech, Biotech, Agritech, SDG, Industrial, EV"
Contribution Capital,Nikita Ponomarev,,"Asia, Israel, Middle East, USA","AI & ML, Fintech, SaaS"
Sturgeon,Nikita Ponomarev,,"Pakistan, Bangladesh, UAE",Agnostic
Vulpes Investment Management,Nikita Ponomarev,,"New Zealand, Philippines, SEA, Indonesia, Australia, Hong Kong, UK, Vietnam, Singapore",Agnostic
Qualgro,Nikita Ponomarev,,"SEA, India",Agnostic
Sai Ventures,Nikita Ponomarev,,Pakistan,"Logistics, eCommerce, Fintech, Agritech"
Global Ventures,Nikita Ponomarev,,"MENA, Pakistan, USA",Agnostic
Ankurit VC,Nikita Ponomarev,,India,"Fintech, Health"
Orvel Ventures / Ascend Angels / NonPublic,Nikita Ponomarev,,"SEA, Indonesia, Vietnam, India",Agnostic
Educelabs,Nikita Ponomarev,,"SEA, USA","Fintech, Health"
Straight Finance,Nikita Ponomarev,,"MENA, Asia, Europe, USA",Agnostic
Bangladesh Angel Network,Hiruy Ephrem,,Bangladesh,Agnostic
ABC Impact,Nikita Ponomarev,,"China, UK, Vietnam, India, SG","Sustainability, Health, SDG"
Cedar Mundi Ventures,Nikita Ponomarev,,"MENA, Pakistan","Web 3, Agnostic"
The Osiris Group (Middle East) - Sardar Ahmed Durrani,Nikita Ponomarev,,MENA,"Impact, Fintech, Health, Agnostic"
Sumitomo,Brian Lee,">1M, 100K-500K","MENA, Asia, Africa, China, SEA, Indonesia, Singapore , Europe, Korea, MY, North Africa, Hong Kong, Vietnam, India, Japan, SG, Singapore","Digitalization, Lifestyle, Food Tech, SaaS, Media, Industrial, Real Estate, Retail"
"Qualgro (NP <> Jeremy Soh, Anqi Chen, Sean Pehm, Ryan Lim) (not Qualgro main card)",Nikita Ponomarev,,"SEA, India",Agnostic
"Jungle Ventures (NP <> Chee Hiong Yeo, Kenneth Liu) not main card for Jungle",Nikita Ponomarev,,SEA,Agnostic
"Vertex Ventures (NP <> Benedict Tan, Isaac Kwa) (not Vertex main card)",Nikita Ponomarev,,"SEA, India","Property Tech, HR, Fintech, Gaming, Agnostic"
Insignia (NP <> Shefali Dodani ) not Insignia main card,Nikita Ponomarev,,"SEA, India",Agnostic
Golden Sparrow,Nikita Ponomarev,100K-500K,"Pakistan, Bangladesh, India","AI & ML, SaaS"
Chandaria Capital,Nikita Ponomarev,,"Pakistan, Africa, North Africa",Agnostic
Ilya Gutov / Asia Gaming Accelerator,Nikita Ponomarev,,Asia,Gaming
1982 ventures,Nikita Ponomarev,100K-500K,"Pakistan, Bangladesh, Indonesia, SG",Fintech
IDLC Ventures,Nikita Ponomarev,100K-500K,Bangladesh,"eCommerce, Agnostic"
Insignia Ventures Partners,Nikita Ponomarev,,SEA,"Fintech, Agnostic"
RC Ventures,Nikita Ponomarev,100K-500K,Bangladesh,Agnostic
Sabr Capital,Nikita Ponomarev,,"Pakistan, Africa, Bangladesh, Middle East",
ABC World Asia,Nikita Ponomarev,,"China, India, SG",
AngelBay,Nikita Ponomarev,,India,
Partech,Nikita Ponomarev,,"Latam, Asia, Africa, North America, Europe, Middle East",
Suraj Kripalani,Nikita Ponomarev,,"Asia, Africa, Bangladesh, India",
Sturgeon Capital,Nikita Ponomarev,,"Pakistan, UAE",
Cocoon Capital,Nikita Ponomarev,,SEA,
Voltity,Nikita Ponomarev,,"SEA, Bangladesh, USA",
Ascend Angels,Nikita Ponomarev,100K-500K,Agnostic,Agnostic
Baidu,Brian Lee,,"Europe, USA",
BECO Capital,Nikita Ponomarev,,MENA,
A.Partners,Nikita Ponomarev,,"MENA, Latam, SA = South Asia, SEA, Global, USA","Blockchain, Fintech, Content Creation, Edtech, Health, Agnostic"
GI Ventures,Nikita Ponomarev,,India,
Digital Currency Group (DCG),Nikita Ponomarev,,Global,
Baring Vostok Capital Partners,Nikita Ponomarev,,"Latam, Russia, SEA",
SAJIDA Foundation,Nikita Ponomarev,,Bangladesh,
Decart Ventures,Nikita Ponomarev,100K-500K,"Latam, Asia, SEA, Europe, USA",
Alpha Intelligence Capital,Nikita Ponomarev,,USA,DeepTech
InDrive,Nikita Ponomarev,,"Pakistan, Latam, Asia, Africa, SEA, Bangladesh","Logistics, User Acquisition, Fintech, User Engagements"
Razy Shah (Angel),Nikita Ponomarev,10K-50K,"Pakistan, SEA, Bangladesh",Agnostic
Osman Ahmed (Angel),Nikita Ponomarev,10K-50K,"Pakistan, SEA, Bangladesh, India",Agnostic
Suraj Kripalani  (Angel),Nikita Ponomarev,10K-50K,"SEA, Bangladesh, India, Agnostic",Agnostic
IFS Capital,Nikita Ponomarev,,SEA,Fintech
SBK Tech Ventures,Hiruy Ephrem,"50K-100K, 100K-500K",,
IFG | CUR8 ,Nikita Ponomarev,,"MENA, Pakistan, Saudi Arabia, UK",Agnostic
Startup Armenia | Seaside Startup Summit 2024,Nikita Ponomarev,,"Armenia, UAE, India, Central Asia",Agnostic
Bonbillo,Nikita Ponomarev,"50K-100K, 10K-50K, 5K-10K","Asia, Africa, SEA, India",Agnostic
Amand Ventures,Nikita Ponomarev,,SEA,Agnostic
First Global Capital (Diana Kam),Nikita Ponomarev,,"Asia, SA = South Asia, SEA",Impact
National Center for Innovation and Entrepreneurship of Armenia (NCIE),Nikita Ponomarev,,Armenia,Agnostic
TA Ventures,Nikita Ponomarev,,"Latam, Israel, Africa, SEA, Europe, USA",Agnostic
Engage Capital,Nikita Ponomarev,,"MENA, Latam, China, SEA","eCommerce, Fintech, SaaS, Web 3, Gaming"
BTFV,Nikita Ponomarev,,"SEA, Bangladesh","eCommerce, Web 3"
Big Sky Capital,Nikita Ponomarev,,SEA,Agnostic
New Ventures (InDrive fund),Nikita Ponomarev,,Agnostic,"Mobility, Fintech"
Alex Miller (Angel),Nikita Ponomarev,5K-10K,"SEA, Bangladesh",Agnostic
"Ian Sullivan (ORBIT Mentor, Advisor, Investment Banker)",Nikita Ponomarev,,SEA,"Blockchain, Fintech, Gaming"
Daria (WOW Summit),Nikita Ponomarev,,"SEA, Europe, UAE","Blockchain, Web 3"
"Hugo Messer (Mentor,Angel, Advisor)",Nikita Ponomarev,,Indonesia,Impact
Bali Investment Club,Nikita Ponomarev,"50K-100K, 10K-50K",Indonesia,"Impact, climate"
Luthfi Juharta (Xendit),Nikita Ponomarev,,SEA,Agnostic
"Florian Bohnert (ORBIT Mentor, Advisor)",Nikita Ponomarev,,SEA,"Blockchain, Web 3"
"Dean H. Diabate (ORBIT Mentor, Advisor)",Nikita Ponomarev,,"Africa, SEA","Logistics, eCommerce"
"Rich Robinson (ORBIT Mentor, Advisor)",Nikita Ponomarev,,SEA,Agnostic
Katapult Africa,Nikita Ponomarev,100K-500K,Africa,"Impact, Agritech"
Loyal VC,Nikita Ponomarev,10K-50K,"MENA, SA = South Asia, Africa, SEA, Global, India, Agnostic",Agnostic
Pulse63,Nikita Ponomarev,,"Philippines, SEA, India",Health
Jayesh Peswani,Nikita Ponomarev,,SEA,Agnostic
"Alex Samson (Advisor, Angel)",Nikita Ponomarev,,SEA,Agnostic
Pavel Veselovskiy,Nikita Ponomarev,,SEA,Agnostic
Arab Bank (AB Xelerate),Jojo Pan,,,"InsurTech, Property Tech, HR, eCommerce, Fintech, Future of Work, SaaS, SDG, Real Estate, Circular Economy"
Global Ventures,Hiruy Ephrem,2M-5M,"MENA, Saudi Arabia, Egypt, UAE, Nigeria",Agnostic
Founco.io,Nikita Ponomarev,,"MENA, Africa",Agnostic
DVC,Nikita Ponomarev,"50K-100K, 100K-500K","Israel, Europe, USA",AI & ML
Improve Ventures,Nikita Ponomarev,,"MENA, Pakistan, Latam, SA = South Asia, SEA",Agnostic
Eminence Ventures,Nikita Ponomarev,>1M,China,"AI & ML, B2B"
Yukon Capital,Nikita Ponomarev,,"MENA, India",Agnostic
Tricap,Nikita Ponomarev,,"Pakistan, UAE",Agnostic
Mikhail Zeldovich (VC and Angel),Nikita Ponomarev,,SEA,"Impact, esg, climate, Agritech"
Conjunction Capital,Nikita Ponomarev,,"MENA, Pakistan, Africa, Bangladesh",Agnostic
DIC (dic.mcit.gov.qa),Nikita Ponomarev,,KSA,Agnostic
TurtleS Ventures,Nikita Ponomarev,50K-100K,"SEA, Bangladesh",Agnostic
ArmTech Impact VC,Nikita Ponomarev,,"Armenia, Europe, USA",Agnostic
Stryber-Sanabil Venture Studio,Nikita Ponomarev,,"Saudi Arabia, KSA",Agnostic
Mohammed Bin Rashid Innovation Fund (MBRIF),Nikita Ponomarev,,UAE,"Food Tech, MedTech, Mobility, Sustainability, Smart City, Software, Digitalization, Aviation, Edtech, Agritech, Health, Agnostic"
Adaverse,Nikita Ponomarev,,"MENA, Asia",Web 3
StartAD,Nikita Ponomarev,,"MENA, UAE","AI & ML, Health"
Angel Central  (Bharad),Nikita Ponomarev,,"Pakistan, SEA, Bangladesh, India",Agnostic
Oraseya Capital,Nikita Ponomarev,,"MENA, UAE",Agnostic
AIIB (Asian Infrastructure Investment Bank),Nikita Ponomarev,,"MENA, China","esg, Logistics, Property Tech, Sustainability, Smart City, Fintech"
Reactor School,Nikita Ponomarev,,Agnostic,
Roselake Ventures,Nikita Ponomarev,,"Africa, North Africa, South Africa",Agnostic
Genting Ventures (Zeke Lee),Nikita Ponomarev,,"SEA, India",Agnostic
True Global,Nikita Ponomarev,,"Europe, USA","Logistics, Retail"
in5,Nikita Ponomarev,,"MENA, Middle East",Agnostic
Shenzhen Crossborder Association,Nikita Ponomarev,,"China, Global",Agnostic
Panacea,Nikita Ponomarev,,Global,"Impact, climate, Edtech, Health, Agnostic"
TripleS Ventures,Nikita Ponomarev,,Agnostic,Agnostic
Plug and Play China,Nikita Ponomarev,,"Germany, China, Europe",DeepTech
"ADIO (Abu Dhabi Investment Office, Beijing)",Nikita Ponomarev,,"MENA, China",Agnostic
SenseTime,Nikita Ponomarev,,China,"AI & ML, DeepTech"
Growth Vision,Nikita Ponomarev,,"MENA, Middle East, Central Asia",Agnostic
Oghub,Nikita Ponomarev,,"Kuwait, Middle East",Agnostic
NUS - Medicine Digital Accelerator,Nikita Ponomarev,,SEA,Health
Alcor Fund,Nikita Ponomarev,,India,Agnostic
Sunny Side Venture Partners,Nikita Ponomarev,,"MENA, Africa",Agnostic
Propeller Inc,Nikita Ponomarev,"50K-100K, 100K-500K",Middle East,Agnostic
A2D Ventures,Nikita Ponomarev,,SEA,Agnostic
The Garage,Nikita Ponomarev,,"Saudi Arabia, KSA",Agnostic
Gobi Partners (Renee),Nikita Ponomarev,,"Global, Agnostic",Agnostic
PTS Holdings,Nikita Ponomarev,50K-100K,Middle East,Agnostic
Global Ventures (Nick <> Rayan Tabbara),Nikita Ponomarev,2M-5M,"MENA, Saudi Arabia, Egypt, UAE, Nigeria",Agnostic
UM6P Ventures /Â OCPÂ Group,Nikita Ponomarev,,"MAR = Morocco, Africa, North Africa, South Africa","DeepTech, Agnostic"
Yango Ventures,Nikita Ponomarev,,"MENA, Pakistan, Latam","Mobility, Agnostic"
Conduit Group,Nikita Ponomarev,,"Asia, SEA",Agnostic
Funders VC,Nikita Ponomarev,,"Latam, Agnostic",Agnostic
Higa,,,Africa,Fintech
doji.com.br,,,Latam,Agnostic
Adgaming,,,UAE,Gaming
Morgan Stanley Impact,,,"MENA, Latam, UK, USA",Agnostic
Elostud.io,,,,
